ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45792956,4234,694.0,CHEVROLET,Aveo,2008,Sedan,Yes,Petrol,1.2,123232,4.0,Automatic,Front,04-May,Left wheel,White,4
45798373,9408,781.0,NISSAN,Teana,2006,Sedan,No,Petrol,2.3,155000,4.0,Automatic,Front,04-May,Left wheel,Black,6
45670583,13172,779.0,VOLKSWAGEN,Golf,2013,Sedan,No,Petrol,2.5,103000,4.0,Tiptronic,Front,04-May,Left wheel,Black,12
45730674,2822,481.0,FORD,Fusion,2017,Sedan,Yes,Hybrid,2.0,79578,4.0,Automatic,Front,04-May,Left wheel,Black,12
45755594,4234,834.0,TOYOTA,Tacoma,2013,Pickup,Yes,Petrol,2.7,158870,4.0,Automatic,Rear,04-May,Left wheel,White,0
45787084,21953,781.0,HONDA,FIT ex,2016,Sedan,Yes,Petrol,1.5,55000,4.0,Tiptronic,Front,04-May,Left wheel,Carnelian red,4
45664630,392,831.0,HYUNDAI,Sonata,2011,Sedan,Yes,Hybrid,2.4,0,4.0,Automatic,Front,04-May,Left wheel,Silver,0
45755672,4077,645.0,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,228610,4.0,Automatic,Front,04-May,Left wheel,Black,0
45801389,2200,781.0,VOLKSWAGEN,Golf 4,2002,Hatchback,No,Petrol,1.8,199000,4.0,Automatic,Front,04-May,Right-hand drive,Silver,0
45732776,14247,836.0,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2.0,63655,4.0,Automatic,Front,04-May,Left wheel,Black,4
45796588,6272,781.0,VOLKSWAGEN,Golf 4,2003,Hatchback,No,Petrol,2.0,250000,4.0,Automatic,Front,04-May,Left wheel,Silver,8
45759415,1490,831.0,HYUNDAI,Sonata,2011,Sedan,Yes,Hybrid,2.4,202637,4.0,Automatic,Front,04-May,Left wheel,Black,0
45809867,16960,595.0,TOYOTA,Aqua,2015,Hatchback,Yes,Petrol,1.5,82000,4.0,Automatic,Front,04-May,Left wheel,White,4
45761794,14740,586.0,FORD,Transit Connect,2012,Goods wagon,No,Diesel,1.8,147000,4.0,Manual,Front,02-Mar,Left wheel,Blue,4
45798196,11992,1047.0,HYUNDAI,Elantra,2007,Sedan,Yes,Petrol,1.6,150863,4.0,Automatic,Front,04-May,Left wheel,White,4
45730595,28241,730.0,SSANGYONG,Actyon,2016,Jeep,Yes,Diesel,1.6,181809,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45729830,19121,1099.0,SSANGYONG,REXTON,2010,Jeep,Yes,Diesel,2.7,168044,4.0,Automatic,Front,04-May,Left wheel,Black,4
45805994,10036,781.0,TOYOTA,Prius,2007,Hatchback,No,Hybrid,1.5,257000,4.0,Automatic,Front,04-May,Right-hand drive,Silver,8
45803255,14454,642.0,HYUNDAI,Sonata,2012,Sedan,Yes,Petrol,2.0,165892,4.0,Automatic,Front,04-May,Left wheel,Black,4
45656630,392,761.0,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,267165,4.0,Automatic,Front,04-May,Left wheel,White,12
