iter	RMSE
0	11188.75309
1	10958.91155
2	10735.65934
3	10541.57539
4	10341.56626
5	10131.52419
6	9936.128034
7	9747.35023
8	9578.813098
9	9399.438053
10	9240.403734
11	9086.510966
12	8939.113037
13	8796.068423
14	8719.269967
15	8583.658982
16	8458.429106
17	8334.929517
18	8219.115477
19	8109.647845
20	8016.142536
21	7925.035987
22	7832.83347
23	7746.810934
24	7667.797463
25	7589.71779
26	7516.998445
27	7439.635621
28	7370.270416
29	7305.466742
30	7241.942114
31	7179.092647
32	7124.507629
33	7067.63338
34	7015.976425
35	6966.408813
36	6918.289044
37	6872.355891
38	6830.187494
39	6800.604703
40	6761.789725
41	6712.668034
42	6677.417847
43	6635.02075
44	6593.074015
45	6563.523656
46	6536.140236
47	6505.664224
48	6477.523377
49	6442.224424
50	6410.034991
51	6381.804998
52	6358.863314
53	6329.107805
54	6304.129933
55	6275.059709
56	6247.326999
57	6221.103818
58	6197.526925
59	6177.176596
60	6156.314535
61	6138.099075
62	6120.64248
63	6097.53801
64	6080.07889
65	6065.615555
66	6051.086277
67	6035.228107
68	6022.191204
69	6005.759757
70	5993.657556
71	5981.807752
72	5973.174828
73	5963.993967
74	5954.983002
75	5945.366248
76	5934.162071
77	5921.731682
78	5909.630464
79	5897.715969
80	5889.07569
81	5873.97706
82	5863.709955
83	5852.376067
84	5841.322553
85	5833.319523
86	5819.97346
87	5806.380026
88	5797.242818
89	5789.331939
90	5775.164332
91	5767.59135
92	5756.818909
93	5744.525312
94	5733.588676
95	5723.806299
96	5718.145324
97	5710.529033
98	5701.29791
99	5691.630545
100	5685.219976
101	5673.863875
102	5662.273347
103	5649.223606
104	5644.063779
105	5639.915196
106	5633.187039
107	5627.227426
108	5619.331657
109	5609.572651
110	5599.472573
111	5594.893575
112	5588.365471
113	5581.558037
114	5577.754179
115	5568.559142
116	5564.017453
117	5555.617472
118	5550.491145
119	5544.667448
120	5538.9851
121	5530.760713
122	5524.172001
123	5518.751097
124	5512.055553
125	5505.950018
126	5499.482684
127	5491.25586
128	5484.641062
129	5476.611495
130	5468.487061
131	5463.155222
132	5457.809137
133	5450.730813
134	5445.974088
135	5438.497977
136	5433.089584
137	5429.937854
138	5424.700514
139	5421.809605
140	5415.120442
141	5409.954225
142	5403.138129
143	5400.009106
144	5394.759574
145	5390.851035
146	5387.653233
147	5383.377937
148	5374.140094
149	5369.967342
150	5364.858445
151	5358.341815
152	5353.146611
153	5350.841024
154	5349.783024
155	5347.329284
156	5343.560338
157	5339.557139
158	5332.179605
159	5326.530087
160	5322.394673
161	5317.628361
162	5312.267714
163	5309.250548
164	5303.889337
165	5301.441213
166	5297.204314
167	5292.739853
168	5289.652995
169	5285.093715
170	5281.982881
171	5277.256502
172	5273.743281
173	5270.862018
174	5266.279288
175	5263.557272
176	5260.834475
177	5257.515035
178	5253.440223
179	5246.265244
180	5243.545702
181	5239.926793
182	5237.802378
183	5233.644392
184	5229.510711
185	5225.301761
186	5222.12553
187	5217.211907
188	5213.719947
189	5208.668488
190	5204.597257
191	5200.455972
192	5194.334559
193	5189.79512
194	5185.41695
195	5183.875703
196	5181.737709
197	5177.023047
198	5175.136859
199	5173.678144
200	5169.189274
201	5165.132217
202	5162.862812
203	5158.918764
204	5156.116427
205	5154.268267
206	5150.605386
207	5145.315075
208	5140.380444
209	5135.147405
210	5132.36849
211	5128.468049
212	5123.937454
213	5120.391926
214	5115.578402
215	5112.651848
216	5105.758284
217	5103.730957
218	5099.639728
219	5096.963915
220	5091.369912
221	5086.280276
222	5082.86491
223	5080.905943
224	5076.867649
225	5076.332975
226	5073.30946
227	5071.303644
228	5067.508148
229	5061.605305
230	5057.007483
231	5052.351094
232	5049.331655
233	5042.99377
234	5036.311095
235	5034.131051
236	5029.710562
237	5029.090593
238	5026.350104
239	5023.668695
240	5019.748924
241	5015.464509
242	5011.343782
243	5009.05906
244	5003.272146
245	4999.510859
246	4996.469151
247	4992.654745
248	4987.891469
249	4984.608558
250	4979.809346
251	4977.124067
252	4973.746938
253	4969.456445
254	4967.812658
255	4964.576215
256	4959.479564
257	4956.505958
258	4954.103638
259	4950.309034
260	4947.783797
261	4942.741126
262	4940.277974
263	4936.89861
264	4934.024522
265	4932.178431
266	4928.814483
267	4923.435529
268	4918.632143
269	4914.277834
270	4912.385129
271	4910.108428
272	4907.871317
273	4905.666467
274	4902.773033
275	4901.119103
276	4896.52793
277	4893.835925
278	4890.710121
279	4887.906487
280	4885.143135
281	4881.632037
282	4880.192521
283	4877.743866
284	4874.037424
285	4867.385068
286	4864.035704
287	4858.998938
288	4856.132304
289	4852.900608
290	4850.127289
291	4847.693007
292	4846.04929
293	4843.231063
294	4840.088521
295	4837.514762
296	4834.722019
297	4832.064647
298	4829.135627
299	4826.82382
300	4825.58479
301	4822.783278
302	4821.425718
303	4819.70534
304	4817.14677
305	4815.160623
306	4811.59651
307	4807.959617
308	4805.803017
309	4802.563401
310	4800.429993
311	4798.506129
312	4796.723876
313	4793.579847
314	4790.721009
315	4788.155371
316	4786.589712
317	4784.430699
318	4783.219259
319	4777.829415
320	4775.911588
321	4773.380455
322	4770.354316
323	4767.945789
324	4766.211284
325	4764.657116
326	4761.03588
327	4759.125652
328	4755.980736
329	4752.265061
330	4750.177627
331	4747.17079
332	4744.16615
333	4739.598193
334	4737.646843
335	4735.448749
336	4733.251466
337	4731.447685
338	4728.660191
339	4726.77412
340	4725.352404
341	4722.333382
342	4720.977807
343	4718.293047
344	4715.983727
345	4712.559389
346	4709.04211
347	4707.669628
348	4705.906664
349	4703.610732
350	4702.091916
351	4699.881207
352	4696.928667
354	5243.507465
355	5242.028055
356	5239.397001
357	5237.085044
358	5235.808161
359	5234.41684
360	5231.79862
361	5229.991959
362	5227.092946
363	5225.3875
364	5222.924345
365	5221.0692
366	5219.264272
367	5216.544418
368	5213.334118
369	5210.148743
370	5207.726018
371	5205.576017
372	5202.953082
373	5200.602471
374	5198.625919
375	5197.222373
376	5196.064625
377	5194.060301
378	5190.122892
379	5186.648452
380	5183.562327
381	5180.528762
382	5178.787029
383	5175.341343
384	5172.943111
385	5171.298255
386	5169.578615
387	5169.012305
388	5166.549496
389	5164.943582
390	5163.500093
391	5161.797038
392	5160.544842
393	5158.203732
394	5157.860166
395	5155.755295
396	5154.030742
397	5151.916582
398	5149.510123
399	5147.222842
400	5146.860356
401	5143.639878
402	5141.742444
403	5139.716892
404	5138.301538
405	5137.403232
406	5135.35146
407	5133.258905
408	5131.998773
409	5128.663009
410	5128.04268
411	5125.839398
412	5123.822803
413	5123.281231
414	5120.693566
415	5119.531884
416	5118.96329
417	5117.06784
418	5114.847999
419	5113.493779
420	5111.234778
421	5109.190514
422	5107.507917
423	5103.453562
424	5101.396761
425	5100.19482
426	5097.810964
427	5096.570292
428	5095.280264
429	5093.86715
430	5092.679822
431	5090.560865
432	5088.416079
433	5086.992424
434	5085.500381
435	5083.785888
436	5082.428065
437	5081.436747
438	5080.689527
439	5079.601229
440	5078.033735
441	5075.953971
442	5074.67713
443	5074.160151
444	5072.25512
445	5071.140109
