iter	Passed	Remaining
0	6	2203
1	16	2953
2	22	2633
3	29	2539
4	36	2538
5	43	2496
6	50	2510
7	58	2528
8	65	2488
9	71	2450
10	77	2394
11	86	2445
12	93	2446
13	99	2411
14	100	2271
15	108	2284
16	115	2277
17	129	2403
18	139	2447
19	156	2613
20	162	2570
21	171	2587
22	201	2897
23	210	2889
24	216	2841
25	224	2828
26	231	2796
27	237	2758
28	243	2721
29	252	2721
30	266	2769
31	273	2740
32	279	2712
33	285	2678
34	293	2664
35	299	2638
36	308	2638
37	315	2611
38	322	2592
39	328	2567
40	334	2546
41	341	2528
42	346	2501
43	353	2482
44	358	2455
45	373	2494
46	405	2640
47	411	2617
48	418	2597
49	425	2579
50	431	2555
51	437	2532
52	443	2510
53	449	2486
54	454	2463
55	461	2450
56	467	2428
57	474	2411
58	481	2400
59	496	2422
60	502	2406
61	513	2411
62	520	2394
63	530	2394
64	538	2387
65	546	2374
66	551	2354
67	560	2349
68	566	2331
69	572	2313
70	578	2297
71	585	2286
72	596	2289
73	602	2272
74	609	2257
75	615	2241
76	624	2239
77	630	2222
78	642	2229
79	649	2217
80	655	2200
81	681	2253
82	696	2264
83	702	2248
84	708	2232
85	714	2218
86	721	2206
87	732	2205
88	737	2188
89	743	2173
90	752	2165
91	773	2193
92	779	2180
93	791	2181
94	799	2171
95	809	2167
96	816	2155
97	824	2144
98	830	2131
99	840	2127
100	848	2116
101	855	2105
102	873	2121
103	880	2107
104	887	2096
105	895	2086
106	901	2072
107	909	2064
108	918	2056
109	924	2041
110	933	2034
111	938	2019
112	943	2004
113	955	2004
114	964	1995
115	969	1980
116	975	1967
117	981	1954
118	990	1947
119	996	1935
120	1002	1921
121	1007	1907
122	1014	1897
123	1023	1890
124	1030	1879
125	1037	1869
126	1044	1859
127	1051	1847
128	1057	1836
129	1065	1827
130	1071	1815
131	1078	1805
132	1084	1793
133	1089	1781
134	1095	1768
135	1101	1757
136	1109	1749
137	1116	1738
138	1124	1731
139	1129	1718
140	1138	1712
141	1144	1700
142	1151	1691
143	1158	1681
144	1164	1670
145	1170	1660
146	1177	1649
147	1182	1638
148	1193	1634
149	1199	1623
150	1205	1613
151	1213	1605
152	1220	1595
153	1226	1584
154	1230	1571
155	1237	1562
156	1243	1552
157	1249	1542
158	1254	1531
159	1260	1520
160	1268	1513
161	1274	1502
162	1280	1492
163	1286	1483
164	1292	1472
165	1298	1462
166	1303	1452
167	1314	1447
168	1320	1437
169	1333	1435
170	1341	1427
171	1347	1417
172	1355	1409
173	1362	1401
174	1368	1391
175	1374	1382
176	1382	1374
177	1390	1367
178	1396	1357
179	1402	1347
180	1407	1337
181	1413	1328
182	1421	1320
183	1426	1310
184	1432	1300
185	1439	1292
186	1445	1283
187	1451	1273
188	1457	1264
189	1463	1255
190	1470	1247
191	1481	1242
192	1487	1232
193	1492	1223
194	1499	1214
195	1507	1207
196	1512	1198
197	1518	1188
198	1539	1191
199	1545	1182
200	1562	1181
